state,city,neighborhood,street,price,area,rooms,bathrooms,garage,number,done,furnished,type
3,9,21,791,535000.0,80.0,2.0,3.0,1.0,47.0,2,0,0
3,9,19,828,260000.0,90.0,2.0,1.0,1.0,53.0,2,0,0
3,9,58,576,630000.0,90.0,3.0,1.0,1.0,125.0,2,0,0
3,9,71,771,840000.0,200.0,4.0,4.0,2.0,35.0,2,0,0
3,9,23,401,780000.0,128.0,3.0,3.0,1.0,302.0,2,0,0
3,9,5,195,225000.0,60.0,2.0,1.0,1.0,159.0,2,0,0
3,9,21,791,535000.0,80.0,2.0,3.0,1.0,47.0,2,0,0
3,9,7,331,330000.0,60.0,2.0,1.0,1.0,230.0,2,0,0
3,9,19,828,260000.0,90.0,2.0,1.0,1.0,53.0,2,0,0
3,9,16,286,550000.0,110.0,3.0,3.0,2.0,100.0,2,0,2
3,9,71,771,840000.0,200.0,4.0,4.0,2.0,35.0,2,0,0
3,9,19,775,250000.0,53.0,2.0,2.0,1.0,110.0,2,0,0
3,9,21,56,690000.0,83.0,2.0,2.0,1.0,91.0,2,0,0
3,9,21,56,780000.0,120.0,3.0,2.0,2.0,204.0,2,0,0
3,9,21,215,850000.0,115.0,3.0,1.0,1.0,67.0,2,0,0
3,9,19,10,249420.0,48.0,2.0,1.0,1.0,100.0,2,0,0
3,9,49,66,475000.0,121.0,3.0,2.0,1.0,911.0,2,0,0
3,9,23,336,360000.0,32.0,1.0,1.0,1.0,44.0,0,0,0
3,9,21,699,,98.0,2.0,1.0,1.0,82.0,1,0,0
3,9,62,47,1100000.0,90.0,2.0,2.0,2.0,,2,0,0
3,9,21,575,1100000.0,70.0,2.0,1.0,1.0,,2,0,0
3,9,49,68,580000.0,138.0,2.0,2.0,1.0,2939.0,2,0,5
3,9,21,317,1550000.0,170.0,4.0,3.0,2.0,,2,0,0
3,9,13,552,330000.0,60.0,2.0,1.0,1.0,51.0,2,0,0
3,9,21,56,630000.0,88.0,2.0,1.0,1.0,,2,0,0
3,9,19,301,230000.0,55.0,2.0,1.0,1.0,48.0,2,0,0
3,9,19,301,230000.0,55.0,2.0,1.0,1.0,48.0,2,0,0
3,9,13,552,330000.0,60.0,2.0,1.0,1.0,51.0,2,0,0
3,9,21,56,630000.0,88.0,2.0,1.0,1.0,,2,0,0
3,9,19,301,230000.0,55.0,2.0,1.0,1.0,48.0,2,0,0
3,9,19,301,230000.0,55.0,2.0,1.0,1.0,48.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,5,66,453000.0,57.0,2.0,1.0,1.0,391.0,2,0,0
3,9,19,49,300000.0,75.0,2.0,2.0,1.0,366.0,2,0,0
3,9,19,49,300000.0,75.0,2.0,2.0,1.0,366.0,2,0,0
3,9,59,172,263000.0,66.0,2.0,1.0,1.0,,2,0,0
3,9,59,172,263000.0,66.0,2.0,1.0,1.0,,2,0,0
3,9,21,496,730000.0,70.0,2.0,2.0,1.0,485.0,2,0,0
3,9,5,66,310000.0,58.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,5,66,310000.0,58.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,5,66,310000.0,58.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,5,66,310000.0,58.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,58,644,580000.0,74.0,2.0,2.0,1.0,,2,0,0
3,9,58,644,580000.0,74.0,2.0,2.0,1.0,,2,0,0
3,9,13,168,495000.0,84.0,3.0,2.0,1.0,380.0,2,0,0
3,9,21,619,993920.0,114.0,3.0,2.0,2.0,350.0,2,0,0
3,9,21,619,993920.0,114.0,3.0,2.0,2.0,350.0,2,0,0
3,9,21,619,993920.0,114.0,3.0,2.0,2.0,350.0,2,0,0
3,9,21,353,795000.0,86.0,2.0,2.0,1.0,136.0,2,0,0
3,9,7,328,330000.0,62.0,2.0,1.0,1.0,500.0,2,0,0
3,9,42,68,580000.0,140.0,3.0,1.0,1.0,2939.0,2,0,5
