state,city,neighborhood,street,price,area,rooms,bathrooms,garage,description,url,number,done,furnished,type
RJ,NITEROI,CENTRO,RUA MAESTRO FELICIO TOLEDO,209000.0,64,null,1,null,"Movv inteligência imobiliária vende sala comercial no centro de Niterói excelente localização. Edifício com 2 elevadores! Aceita financiamento bancário.
Venha visitar! -",www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-niteroi-64m2-id-2576939266,null,2,0,SALA/CONJUNTO
RJ,NITEROI,CENTRO,AVENIDA VISCONDE DO RIO BRANCO,180000.0,29,null,null,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-niteroi-29m2-id-2573123973,null,2,0,SALA/CONJUNTO
RJ,NITEROI,MACEIO,ESTRADA PACHECO DE CARVALHO,272000.0,60,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-maceio-niteroi-60m2-id-2576801066,1291,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,RUA PROFESSOR HEITOR CARRILHO,530000.0,75,3,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-niteroi-75m2-id-2685664833,null,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,RUA AURELINO LEAL,260000.0,64,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-niteroi-64m2-id-2571107329,40,2,0,SALA/CONJUNTO
RJ,NITEROI,ICARAI,RUA DOUTOR TAVARES DE MACEDO,1418000.0,115,2,4,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-salao-de-festas-icarai-niteroi-115m2-id-2584532456,196,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA MARTINS TORRES,169000.0,47,2,1,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-santa-rosa-niteroi-47m2-id-2687154252,null,2,0,APARTAMENTO
RJ,NITEROI,BARRETO,RUA DOUTOR MARCH,284000.0,54,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-barreto-niteroi-54m2-id-2659347969,null,2,1,APARTAMENTO
RJ,NITEROI,CENTRO,RUA MAESTRO FELICIO TOLEDO,220000.0,62,null,1,null,"Movv inteligência imobiliária vende sala comercial no centro de Niterói com excelente localização. Edifício com 2 elevadores! Aceita financiamento bancário.
Venha visitar! -",www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-niteroi-62m2-id-2576940955,null,2,0,SALA/CONJUNTO
RJ,NITEROI,ENGENHO DO MATO,RUA HISTORIADOR JULIO XAVIER DE FIGUEIREDO,520000.0,180,3,3,3,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-engenho-do-mato-niteroi-180m2-id-2681044565,100,2,0,CASA
RJ,NITEROI,ICARAI,AVENIDA ROBERTO SILVEIRA,1098080.0,95,3,2,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-icarai-niteroi-95m2-id-2690326848,100,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA NOBREGA,1080000.0,102,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-icarai-niteroi-102m2-id-2669606227,100,2,1,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA DOUTOR MARIO VIANA,750000.0,80,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-niteroi-80m2-id-2669758829,360,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA DOUTOR MARIO VIANA,750000.0,80,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-niteroi-80m2-id-2669758829,360,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA DOUTOR MARIO VIANA,750000.0,80,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-niteroi-80m2-id-2669758829,360,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,RUA VISCONDE DO URUGUAI,280000.0,70,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-centro-niteroi-70m2-id-2687925232,199,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA MEM DE SA,1598000.0,136,3,5,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-icarai-niteroi-136m2-id-2687906056,75,2,1,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA SANTA ROSA,860000.0,100,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-rosa-niteroi-100m2-id-2639157760,82,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NOSSA SENHORA AUXILIADORA,690000.0,71,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-santa-rosa-niteroi-71m2-id-2649970778,34,2,1,APARTAMENTO
RJ,NITEROI,CENTRO,RUA DA CONCEICAO,145000.0,38,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-cozinha-centro-niteroi-38m2-id-2647791259,null,2,0,SALA/CONJUNTO
RJ,NITEROI,CENTRO,RUA DA CONCEICAO,145000.0,38,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-cozinha-centro-niteroi-38m2-id-2647791259,null,2,0,SALA/CONJUNTO
RJ,NITEROI,INGA,RUA DOUTOR JAIME DOS SANTOS FIGUEIREDO,284000.0,40,1,1,1,null,www.zapimoveis.com.br/imovel/venda-studio-1-quarto-com-piscina-inga-niteroi-40m2-id-2634710243,259,2,0,STUDIO
RJ,NITEROI,FONSECA,RUA MAGNOLIA BRASIL,250000.0,70,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-fonseca-niteroi-70m2-id-2557606288,41,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA ALVARES DE AZEVEDO,1200000.0,75,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-icarai-niteroi-75m2-id-2627269988,182,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA PADRE EMILIO MIOTTI,650000.0,75,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-santa-rosa-niteroi-75m2-id-2667722114,11,2,1,APARTAMENTO
RJ,NITEROI,BARRETO,RUA DOUTOR LUIZ PALMIER,290000.0,57,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barreto-niteroi-57m2-id-2687111124,500,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA VISCONDE DO RIO BRANCO,320000.0,85,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-centro-niteroi-85m2-id-2687445530,571,2,0,APARTAMENTO
RJ,NITEROI,BADU,ESTRADA FRANCISCO DA CRUZ NUNES,340000.0,65,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-badu-niteroi-65m2-id-2681046005,2800,2,1,APARTAMENTO
RJ,NITEROI,CENTRO,RUA MAESTRO FELICIO TOLEDO,130000.0,28,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-mobiliado-centro-niteroi-28m2-id-2460624639,null,2,1,SALA/CONJUNTO
RJ,NITEROI,CENTRO,RUA DA CONCEICAO,160000.0,49,null,1,1,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-interfone-centro-niteroi-49m2-id-2568641441,188,2,0,SALA/CONJUNTO
RJ,NITEROI,PIRATININGA,RUA ROMA,840000.0,109,2,1,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-piratininga-niteroi-109m2-id-2551369257,22,2,0,APARTAMENTO
RJ,NITEROI,SERRA GRANDE,AVENIDA PILSEN,349000.0,70,2,2,1,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-serra-grande-niteroi-70m2-id-2666412756,1396,2,0,CASA DE CONDOMINIO
RJ,NITEROI,MACEIO,ESTRADA PACHECO DE CARVALHO,400000.0,56,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-maceio-niteroi-56m2-id-2576801076,399,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA DOUTOR SARDINHA,460000.0,80,2,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-santa-rosa-niteroi-80m2-id-2648544459,60,2,0,APARTAMENTO
RJ,NITEROI,FONSECA,RUA MAGNOLIA BRASIL,320000.0,79,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-fonseca-niteroi-79m2-id-2624641915,41,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,RUA PROFESSOR HEITOR CARRILHO,420000.0,67,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-niteroi-67m2-id-2644924229,1,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,RUA GENERAL ANDRADE NEVES,125000.0,26,null,null,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-deposito-privativo-sao-domingos-niteroi-26m2-id-2576801770,9,2,0,SALA/CONJUNTO
RJ,NITEROI,FONSECA,RUA ANTONIO SILVA,195000.0,80,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-fonseca-niteroi-80m2-id-2683530014,null,2,0,APARTAMENTO
RJ,NITEROI,FONSECA,RUA ANTONIO SILVA,195000.0,80,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-fonseca-niteroi-80m2-id-2683530014,null,2,0,APARTAMENTO
RJ,NITEROI,BALDEADOR,ESTRADA VELHA DE MARICA,590000.0,250,4,4,2,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-churrasqueira-baldeador-niteroi-250m2-id-2664704214,55,2,0,CASA DE CONDOMINIO
RJ,NITEROI,PENDOTIBA,ESTRADA CAETANO MONTEIRO,320000.0,75,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-badu-niteroi-75m2-id-2673660094,4087,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA MARIZ E BARROS,630000.0,86,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-icarai-niteroi-86m2-id-2687408242,65,2,1,APARTAMENTO
RJ,NITEROI,ICARAI,RUA PRESIDENTE BACKER,1240000.0,97,3,1,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-icarai-niteroi-97m2-id-2624567755,231,2,1,APARTAMENTO
RJ,NITEROI,CENTRO,RUA DA CONCEICAO,120000.0,22,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-niteroi-22m2-id-2670879104,null,2,0,SALA/CONJUNTO
RJ,NITEROI,CENTRO,AVENIDA ERNANI DO AMARAL PEIXOTO,250000.0,45,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-mobiliado-centro-niteroi-45m2-id-2574643458,null,2,1,SALA/CONJUNTO
RJ,NITEROI,BARRETO,RUA DOUTOR LUIZ PALMIER,330000.0,65,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barreto-niteroi-65m2-id-2681046010,505,2,0,APARTAMENTO
RJ,NITEROI,VILA PROGRESSO,RUA CANDIDO PORTINARI,1750000.0,360,5,7,3,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-mata-paca-niteroi-360m2-id-2618347860,1,2,0,CASA DE CONDOMINIO
RJ,NITEROI,ICARAI,AVENIDA ROBERTO SILVEIRA,650000.0,90,3,3,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-icarai-niteroi-90m2-id-2568121543,null,2,0,APARTAMENTO
RJ,NITEROI,ITAIPU,RUA ADALGISA MONTEIRO,577500.0,164,3,5,4,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-itaipu-niteroi-164m2-id-2665916267,630,2,1,CASA
RJ,NITEROI,SANTANA,RUA BENJAMIN CONSTANT,240000.0,60,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-santana-niteroi-60m2-id-2576800963,397,2,0,APARTAMENTO
RJ,NITEROI,BADU,ESTRADA CAETANO MONTEIRO,310000.0,58,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-badu-niteroi-58m2-id-2576801445,4087,2,0,APARTAMENTO
RJ,NITEROI,FONSECA,RUA RIODADES,190000.0,51,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-fonseca-niteroi-51m2-id-2586127649,null,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA PADRE EMILIO MIOTTI,650000.0,78,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-santa-rosa-niteroi-78m2-id-2667768994,45,2,1,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NOSSA SENHORA AUXILIADORA,680000.0,87,3,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-santa-rosa-niteroi-87m2-id-2621393254,100,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA ERNANI DO AMARAL PEIXOTO,200000.0,45,null,2,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-ar-condicionado-centro-niteroi-45m2-id-2645832591,500,2,0,SALA/CONJUNTO
RJ,NITEROI,BARRETO,RUA DOUTOR LUIZ PALMIER,320000.0,60,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barreto-niteroi-60m2-id-2659347230,null,2,0,APARTAMENTO
RJ,NITEROI,PIRATININGA,PRAIA PIRATININGA,990000.0,98,3,3,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-piratininga-niteroi-98m2-id-2668022851,3246,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NORONHA TORREZAO,660000.0,71,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-frente-para-o-mar-santa-rosa-niteroi-71m2-id-2640831253,null,2,0,APARTAMENTO
RJ,NITEROI,SAO DOMINGOS,RUA JOSE BONIFACIO,460000.0,90,3,3,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-sao-domingos-niteroi-90m2-id-2687153428,null,2,0,APARTAMENTO
RJ,NITEROI,BARRETO,RUA DOUTOR LUIZ PALMIER,370000.0,60,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barreto-niteroi-60m2-id-2681043290,1000,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,RUA GERALDO MARTINS,1450000.0,139,3,3,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-icarai-niteroi-139m2-id-2684614198,189,2,0,APARTAMENTO
